"연번","비상소화장치일련번호","일련번호","X좌표","Y좌표","비상소화장치고유번호","사용구분","삭제여부","업데이트날짜"
"1","110081382","383","191919.63564477","546881.80307061","000043","52205","N","20230202120009"
"2","110081383","384","191819.96971377","546827.12822076","000044","52201","N","20230113120005"
"3","110081384","385","191451.00758246","543792.22146323","000001","52201","N","20230209120003"
"4","110081389","389","191577.24785981","546335.71068927","000049","52201","N","20230216120041"
"5","110081392","391","191940.91020881","545491.24926303","000003","52201","N","20230215120054"
"6","110081393","392","191352.69028927","545566.83035847","000052","52201","N","20230115120014"
"7","110081394","393","192301.66739032","546036.39859569","000053","52201","N","20230214120039"
"8","110081395","394","192456.27789957","546037.96776182","000054","52201","N","20230214120039"
"9","110081396","395","191778.97482021","545694.76004279","000055","52201","N","20230115120014"
"10","110081398","397","192025.83037374","545594.64532641","000057","52201","N","20230115120014"
"11","110081400","398","191481.68929454","544399.50480638","000059","52201","N","20230216120041"
"12","110081401","399","191788.15393578","544363.76061551","000060","52201","N","20230216120041"
"13","110081402","400","191655.28099759","548142.34632110","000061","52201","N","20220925120015"
"14","110081406","402","192277.49349782","545910.05507571","000065","52201","N","20230214120039"
"15","110085227","0","204109.25357579","551528.27303053","000021","52201","N","20230216120041"
"16","110081408","404","191579.13144769","544141.10873072","000067","52201","N","20230209120003"
"17","110081411","407","191714.83114223","545618.17484817","000075","52201","N","20230115120014"
"18","110081413","408","203796.00350005","556314.82772182","180","52201","N","20230201120011"
"19","110080195","409","205318.20386023","542794.03977338","000047","52201","N","20230125120009"
"20","110081414","410","203062.78718540","555690.78880963","181","52201","N","20230216120041"
"21","110081415","411","201876.27664673","555574.27843199","182","52201","N","20230208120008"
"22","110081416","412","202742.36834510","555851.48011132","183","52201","N","20230214120039"
"23","110081417","414","200867.16282543","555552.21006732","184","52201","N","20230117120003"
"24","110081418","415","200238.49329303","557150.65372062","185","52201","N","20230210120006"
"25","110081420","417","202623.93643902","554330.47007745","187","52201","N","20230207120026"
"26","110081421","418","202010.61807149","553981.75830304","188","52201","N","20230209120003"
"27","110081422","419","201469.21719095","555206.19344417","189","52201","N","20230114120003"
"28","110081423","420","203643.26521641","557014.58263742","190","52201","N","20230207120026"
"29","110081425","422","205451.43070950","556696.24356800","192","52201","N","20230211120001"
"30","110081427","424","200539.10562280","556923.98117395","194","52201","N","20230217120025"
"31","110081428","425","200007.34657817","557383.49139047","195","52201","N","20230211120001"
"32","110081429","426","199979.77957896","557203.73487849","2","52201","N","20230210120006"
"33","110080001","427","203866.78697905","556994.20845739","140","52201","N","20230213120021"
"34","110080003","428","202568.84167513","554453.10018328","142","52201","N","20230207120026"
"35","110080005","430","201967.22553463","555105.25422090","199","52201","N","20230214120039"
"36","110080006","431","200667.03881567","554283.04630428","200","52201","N","20230215120054"
"37","110080009","432","200043.83482098","556356.49926728","196","52201","N","20230111120005"
"38","110080010","433","200165.74701121","556291.57701370","205","52201","N","20230111120005"
"39","110080011","434","200095.53467114","557237.34269434","207","52201","N","20230210120006"
"40","110080012","435","200715.18162864","555483.31169117","198","52201","N","20230117120003"
"41","110080014","437","199737.90411913","556290.36901068","203","52201","N","20230111120005"
"42","110085251","0","213919.20798984","543452.38819276","000037","52201","N","20230215120054"
"43","110081111","529","203569.82438352","549746.51962028","000089","52201","N","20230205120012"
"44","110081112","530","204901.06377033","550987.11741272","000087","52201","N","20230218120027"
"45","110081113","531","205673.64625752","549978.37045008","000088","52201","N","20230116120007"
"46","110081115","534","202691.64125105","550428.77264217","000100","52201","N","20230106120005"
"47","110081116","535","202016.53043395","550067.57199084","000101","52201","N","20230204120010"
"48","110081120","537","200861.27011132","549031.19905202","000105","52201","N","20230117120003"
"49","110081121","538","205731.92122279","548665.51993968","000086","52201","N","20230112120008"
"50","110082129","539","193984.75140879","543592.81314334","000175","52201","N","20230212120018"
"51","110082131","541","193274.71693114","540999.94168025","000177","52201","N","20230216120041"
"52","110082132","542","193995.35719297","541482.91534676","000178","52201","N","20230213120021"
"53","110082133","543","195572.65606655","542671.09235739","000179","52201","N","20230211120001"
"54","110082134","544","194141.71970591","542367.13495115","000181","52201","N","20230218120027"
"55","110082135","545","195296.37929304","545725.59776227","000274","52201","N","20230205120012"
"56","110082136","546","198002.60620671","543796.94203172","000275","52201","N","20230215120054"
"57","110082137","547","196891.00781068","544937.82900013","000276","52201","N","20230219120021"
"58","110082139","549","194607.36442892","544706.32624260","000278","52205","N","20230113120005"
"59","110082142","552","196694.12924939","543393.21472162","000281","52201","N","20230208120008"
"60","110082143","553","195423.26910485","544541.07855393","000283","52201","N","20230111120005"
"61","110082144","554","193791.67932402","540108.32078314","000007","52201","N","20230219120021"
"62","110082149","559","193069.14732539","540759.63897272","000080","52201","N","20230210120006"
"63","110082150","560","192523.44111787","540371.48452988","000059","52201","N","20230205120012"
"64","110082151","561","192203.56280661","542620.70846988","000005","52201","N","20230106120005"
"65","110082152","562","192928.07542623","541853.66002424","000087","52201","N","20230217120025"
"66","110082153","563","193701.27600218","540105.97003250","000006","52201","N","20230219120021"
"67","110082155","565","194711.28989510","541622.49827481","000030","52201","N","20230214120039"
"68","110082156","566","194374.01152850","540624.79293334","000035","52201","N","20230219120021"
"69","110082157","567","194252.98504120","540573.63606125","000036","52201","N","20230213120021"
"70","110082158","568","194541.53158007","540838.81582980","000038","52201","N","20230213120021"
"71","110081563","220","200973.42354963","556626.52508188","101","52201","N","20230218120027"
"72","110081564","221","204527.56909396","556703.93038392","102","52201","N","20230119120008"
"73","110081861","2088","203303.31451508","557359.73458875","321","52201","N","20230219120021"
"74","110081863","2090","203282.63805670","560801.34808940","38","52201","N","20230216120041"
"75","110081864","2091","202102.00355351","561540.69714284","39","52201","N","20230219120021"
"76","110081865","2092","202720.59574993","558656.64344243","325","52201","N","20230219120021"
"77","110081866","2093","201179.50563292","558607.56612129","421","52201","N","20230213120021"
"78","110080426","2094","195891.73246227","553013.27523336","140","52201","N","20230218120027"
"79","110081868","2095","203292.27320661","560048.36246106","43","52201","N","20230216120041"
"80","110081871","2098","201499.60655489","558584.41670518","424","52201","N","20230130120010"
"81","110081872","2099","201567.60469542","558081.29783708","425","52201","N","20230124120011"
"82","110081873","2100","203273.28795486","564342.22327496","48","52201","N","20230211120001"
"83","110081874","2101","202683.45430191","558438.80111798","323","52201","N","20230219120021"
"84","110081875","2102","201818.23771228","560811.09912783","202","52201","N","20230118120006"
"85","110080428","2103","196319.79839284","551375.15993919","110","52201","N","20230114120003"
"86","110081877","2105","202402.90947216","557089.12870630","314","52201","N","20230115120014"
"87","110081569","226","204574.59973285","557822.42113406","107","52201","N","20230123120013"
"88","110081570","227","204549.75475815","557833.92936603","108","52201","N","20230116120007"
"89","110081572","229","204954.55321667","556590.22321341","110","52201","N","20230208120008"
"90","110081575","231","204410.66909796","556799.80864798","113","52201","N","20230119120008"
"91","110081576","232","204298.66268602","556617.66614684","114","52201","N","20230119120008"
"92","110081577","233","205249.66855734","557341.21361855","115","52201","N","20230207120026"
"93","110081578","234","204174.51282230","556766.23705220","116","52202","N","20230213120021"
"94","110081579","235","203728.08537447","557427.90288943","117","52201","N","20230219120021"
"95","110081580","236","203862.47346573","557526.09240285","118","52201","N","20230219120021"
"96","110081124","238","206486.17554113","550621.72631719","000093","52201","N","20230215120054"
"97","110081127","240","203877.06517813","551668.02108743","000097","52201","N","20230210120006"
"98","110080982","241","201241.17459590","550291.85087882","217","52201","N","20230116120007"
"99","110080983","242","199464.48528578","551916.82740807","000218","52201","N","20230207120026"
"100","110080984","243","199573.87718259","552037.01327262","000219","52201","N","20230210120006"
"101","110080985","244","201098.86501494","552787.36766842","6-61","52201","N","20230125120009"
"102","110080988","247","202583.29828947","553294.44137605","058","52203","N","20230116120007"
"103","110080989","248","203033.79922928","553912.09249567","059","52201","N","20230204120010"
"104","110080990","249","201039.92887422","552622.07527171","6-59","52201","N","20230125120009"
"105","110080991","250","201547.24574026","551967.57884315","000228","52201","N","20230123120013"
"106","110080992","251","199537.93868019","551583.63724384","000229","52201","N","20230212120018"
"107","110080993","252","200792.82892076","551696.69134524","000230","52201","N","20230112120008"
"108","110080994","254","201238.53228194","551552.43790535","000207","52201","N","20230202120009"
"109","110080979","255","201493.99686809","551958.21223936","000214","52201","N","20230123120013"
"110","110080996","256","201227.72098872","552163.50721356","000226","52201","N","20230202120009"
"111","110080998","258","201727.04276919","551876.37658030","165","52201","N","20230123120013"
"112","110081000","260","201252.34693502","551100.73155629","96","52201","N","20230205120012"
"113","110081003","263","198025.84064834","550745.92658163","000397","52201","N","20221218120015"
"114","110081004","264","197988.16413614","551220.67539647","000182","52201","N","20230115120014"
"115","110081007","267","207212.58449260","549167.99363181","000111","52201","N","20230207120026"
"116","110080980","268","199255.27493899","551210.34228778","000215","52201","N","20230207120026"
"117","110080981","269","200283.31161931","551856.03020023","000216","52201","N","20230217120025"
"118","110081008","270","204765.01947523","549961.98868949","000112","52201","N","20230116120007"
"119","110081009","271","206187.32275120","549507.37004390","000113","52201","N","20230216120041"
"120","110081011","273","207156.86535423","552125.33126517","000115","52201","N","20230209120003"
"121","110081012","274","202571.66488882","551302.37714347","000116","52201","N","20230118120006"
"122","110081015","276","201625.42608995","550232.54362947","000119","52201","N","20230215120054"
"123","110081016","277","208297.10435155","550740.72307429","000120","52201","N","20230112120008"
"124","110081018","279","202081.31564005","550022.20447313","000121","52201","N","20230211120001"
"125","110081019","280","206357.91918918","550953.39381565","000122","52201","N","20230126120003"
"126","110082544","282","207476.70416855","554023.30543654","3-11","52201","N","20230207120026"
"127","110082545","283","208170.12519641","554517.15631159","3-29","52201","N","20230209120003"
"128","110082546","284","208089.87328740","554470.75994381","3-30","52201","N","20230209120003"
"129","110082547","285","207979.47643279","554459.46630974","3-31","52201","N","20230209120003"
"130","110082548","286","209083.91882459","554504.19426537","3-32","52201","N","20230209120003"
"131","110082549","287","208408.98891363","553641.98859293","2-22","52201","N","20230119120008"
"132","110082552","290","194040.27654487","544266.57119144","000284","52201","N","20230208120008"
"133","110082553","291","196042.69825531","545102.24359833","000285","52201","N","20230216120041"
"134","110082555","292","198255.27913814","542936.86488656","000288","52201","N","20230208120008"
"135","110082557","294","197393.10793073","541991.65075536","000290","52201","N","20230209120003"
"136","110082558","295","194885.41871112","545300.92486692","000291","52201","N","20230214120039"
"137","110082559","296","194403.61603219","545327.57672285","000292","52205","N","20230219120021"
"138","110082561","298","191646.74102059","542868.76369906","000294","52201","N","20230109120013"
"139","110082562","299","198170.45498260","543357.84193094","000295","52205","N","20230215120054"
"140","110082563","300","193753.62723081","544106.38405348","000296","52201","N","20230213120021"
"141","110082564","301","195860.18341248","544033.10919612","000297","52201","N","20230117120003"
"142","110082566","302","194465.80933413","545780.83023375","000299","52201","N","20230215120054"
"143","110082567","303","196630.61763823","544965.96501218","000300","52201","N","20230207120026"
"144","110082570","306","194996.94005764","545849.33855191","000303","52201","N","20230205120012"
"145","110082571","307","194434.04067242","545566.93233594","000304","52201","N","20230215120054"
"146","110082572","308","195215.94428955","543963.27672823","000305","52201","N","20230208120008"
"147","110082573","309","194006.49049532","544804.73977871","000306","52201","N","20230209120003"
"148","110082574","310","194437.85713956","544359.60114256","000307","52201","N","20230208120008"
"149","110082576","312","192254.94769003","543394.41837974","000320","52201","N","20230109120013"
"150","110082578","314","194932.64937255","544365.46976651","000318","52201","N","20230212120018"
"151","110082579","315","197403.85820572","544996.31225604","000324","52201","N","20230120120004"
"152","110082581","317","197117.59794187","543750.60396062","000322","52201","N","20230207120026"
"153","110082582","318","195890.40002899","544159.42671234","000323","52201","N","20230216120041"
"154","110082583","319","194149.43361367","544120.68758035","000317","52201","N","20230209120003"
"155","110082584","320","195279.59990455","544707.71738627","000316","52201","N","20230209120003"
"156","110082586","322","192277.73155820","543206.03073016","000326","52201","N","20230109120013"
"157","110082588","324","194793.29168945","544387.73815043","000327","52201","N","20230208120008"
"158","110082590","325","192175.61633124","543426.68534138","000329","52201","N","20230110120029"
"159","110082591","326","196209.74825217","545340.45208769","000333","52201","N","20230216120041"
"160","110082592","327","196842.75203414","544866.57137529","000335","52201","N","20230210120006"
"161","110082593","328","194529.25808283","544193.48136627","000331","52201","N","20230208120008"
"162","110082595","329","197357.68168864","542296.77640225","000332","52201","N","20230216120041"
"163","110081482","331","204978.68511177","557345.99412825","44","52201","N","20230217120025"
"164","110081483","332","203159.22325411","555594.24057399","45","52201","N","20230107120004"
"165","110081484","333","200025.76589243","556223.01525998","46","52201","N","20230111120005"
"166","110081485","334","200238.42654723","556681.23793882","47","52201","N","20230217120025"
